,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
578,Tony Snell,SF,28,DET,59,57,27.8,2.9,6.5,.445,1.7,4.3,.402,1.2,2.2,.531,.579,0.5,0.5,1.000,0.2,1.7,1.9,2.2,0.5,0.3,0.5,1.7,8.0
579,Omari Spellman,PF,22,GSW,49,3,18.1,2.6,6.0,.431,0.9,2.2,.391,1.7,3.8,.454,.503,1.5,1.9,.793,1.6,2.9,4.5,1.0,0.7,0.5,1.1,1.3,7.6
580,Max Strus,SG,23,CHI,2,0,3.0,1.0,1.5,.667,0.0,0.5,.000,1.0,1.0,1.000,.667,0.5,0.5,1.000,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.5
581,Edmond Sumner,PG,24,IND,28,2,13.4,1.8,4.3,.417,0.4,1.6,.267,1.4,2.7,.507,.467,0.4,0.6,.647,0.4,1.0,1.4,1.4,0.5,0.3,0.7,1.3,4.4
582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Caleb Swanigan,PF,22,TOT,27,1,10.7,1.0,1.7,.596,0.0,0.1,.000,1.0,1.7,.622,.596,0.3,0.6,.529,1.0,2.7,3.7,1.1,0.1,0.3,1.4,2.3,2.4
584,Caleb Swanigan,PF,22,SAC,7,0,3.3,0.3,0.6,.500,0.0,0.0,,0.3,0.6,.500,.500,0.1,0.3,.500,0.3,0.7,1.0,0.3,0.1,0.3,0.9,1.1,0.7
585,Caleb Swanigan,PF,22,POR,20,1,13.3,1.3,2.2,.605,0.0,0.1,.000,1.3,2.1,.634,.605,0.4,0.8,.533,1.3,3.4,4.7,1.5,0.1,0.3,1.6,2.7,3.0
586,Jayson Tatum,PF,21,BOS,65,65,34.4,8.3,18.7,.447,2.8,7.1,.399,5.5,11.5,.477,.523,3.8,4.7,.808,1.0,6.0,7.0,3.0,1.4,0.9,2.3,2.1,23.4
587,Jeff Teague,PG,31,TOT,59,17,24.8,3.6,8.3,.436,0.7,2.0,.368,2.9,6.3,.457,.480,2.9,3.3,.873,0.5,1.9,2.4,5.2,0.7,0.3,2.0,1.8,10.9
588,Jeff Teague,PG,31,MIN,34,13,27.8,4.3,9.5,.448,1.0,2.6,.379,3.3,7.0,.473,.498,3.7,4.2,.868,0.4,2.1,2.6,6.1,0.7,0.4,2.2,2.1,13.2
589,Jeff Teague,PG,31,ATL,25,4,20.8,2.7,6.6,.412,0.4,1.2,.333,2.3,5.4,.430,.442,1.9,2.1,.887,0.5,1.7,2.2,4.0,0.8,0.2,1.6,1.4,7.7
590,Garrett Temple,SG,33,BRK,61,34,27.8,3.6,9.5,.378,2.0,6.2,.327,1.5,3.2,.475,.485,1.1,1.4,.795,0.5,3.0,3.4,2.5,0.8,0.5,1.0,1.7,10.3
